County,State,DBcode,Tot_value
Halifax County,NC,LC7,23
Hertford County,NC,LC2,8
Hertford County,NC,LC3,94
Hertford County,NC,LC4,135
Hertford County,NC,LC5,26
Hertford County,NC,LC6,77
Hertford County,NC,LC7,13
Hyde County,NC,LC2,5
Hyde County,NC,LC3,154
Hyde County,NC,LC4,32
Hyde County,NC,LC5,6
Hyde County,NC,LC6,403
Hyde County,NC,LC7,10
Jones County,NC,LC2,5
Jones County,NC,LC3,96
Jones County,NC,LC4,140
Jones County,NC,LC5,40
Jones County,NC,LC6,176
Jones County,NC,LC7,13
Lenoir County,NC,LC2,20
Lenoir County,NC,LC3,164
Lenoir County,NC,LC4,78
Lenoir County,NC,LC5,20
Lenoir County,NC,LC6,89
Lenoir County,NC,LC7,24
Martin County,NC,LC2,11
Martin County,NC,LC3,143
Martin County,NC,LC4,109
Martin County,NC,LC5,31
Martin County,NC,LC6,143
Martin County,NC,LC7,16
New Hanover County,NC,LC2,63
New Hanover County,NC,LC3,5
New Hanover County,NC,LC4,26
New Hanover County,NC,LC5,8
New Hanover County,NC,LC6,60
New Hanover County,NC,LC7,31
Northampton County,NC,LC2,6
Northampton County,NC,LC3,172
Northampton County,NC,LC4,180
Northampton County,NC,LC5,40
Northampton County,NC,LC6,107
Northampton County,NC,LC7,18
Onslow County,NC,LC2,57
Onslow County,NC,LC3,93
Onslow County,NC,LC4,237
Onslow County,NC,LC5,56
Onslow County,NC,LC6,270
Onslow County,NC,LC7,46
Pamlico County,NC,LC2,4
Pamlico County,NC,LC3,58
Pamlico County,NC,LC4,69
Pamlico County,NC,LC5,14
Pamlico County,NC,LC6,177
Pamlico County,NC,LC7,14
Pasquotank County,NC,LC2,11
Pasquotank County,NC,LC3,124
Pasquotank County,NC,LC4,14
Pasquotank County,NC,LC5,1
Pasquotank County,NC,LC6,60
Pasquotank County,NC,LC7,15
Pender County,NC,LC2,19
Pender County,NC,LC3,93
Pender County,NC,LC4,236
Pender County,NC,LC5,60
Pender County,NC,LC6,426
Pender County,NC,LC7,29
Perquimans County,NC,LC2,5
Perquimans County,NC,LC3,125
Perquimans County,NC,LC4,39
Perquimans County,NC,LC5,4
Perquimans County,NC,LC6,62
Perquimans County,NC,LC7,12
Pitt County,NC,LC2,39
Pitt County,NC,LC3,247
Pitt County,NC,LC4,120
Pitt County,NC,LC5,31
Pitt County,NC,LC6,164
Pitt County,NC,LC7,41
Sampson County,NC,LC2,18
Sampson County,NC,LC3,338
Sampson County,NC,LC4,212
Sampson County,NC,LC5,69
Sampson County,NC,LC6,196
Sampson County,NC,LC7,34
Tyrrell County,NC,LC2,2
Tyrrell County,NC,LC3,103
Tyrrell County,NC,LC4,22
Tyrrell County,NC,LC5,2
Tyrrell County,NC,LC6,254
Tyrrell County,NC,LC7,5
Washington County,NC,LC2,5
Washington County,NC,LC3,150
Washington County,NC,LC4,43
Washington County,NC,LC5,12
Washington County,NC,LC6,125
Washington County,NC,LC7,11
